wordStem,wordFunction,value,pos
Autorität,VAL,0.2,NOUN
abwenden,VAL,-0.2,VERB
vermeiden,VAL,-0.2,VERB
abwarten,VAL,-0.2,VERB
erwarten,VAL,-0.2,VERB
vergeben,VAL,0.6,VERB
belohnen,VAL,0.6,VERB
furchtbar,VAL,0.8,ADV
peinlich,VAL,-0.4,ADV
Axt,VAL,-0.2,NOUN
beiläufig,VAL,-0.2,ADV
unterstützen,VAL,0.2,VERB
rückwärts,VAL,0.4,ADV
zurück,VAL,0.2,ADV
schlecht,VAL,-0.6,ADV
knallhart,VAL,-0.6,ADV
Rettungsaktion,VAL,-0.4,NOUN
bamboozle,VAL,-0.4,NOUN
bamboozled,VAL,-0.4,PROPN
verbieten,VAL,-0.4,VERB
verbannen,VAL,-0.2,VERB
bankrott,VAL,-0.6,ADV
Bankster,VAL,-0.6,NOUN
Schnäppchen,VAL,0.4,NOUN
Sperre,VAL,-0.4,NOUN
Bastard,VAL,-1.0,NOUN
Schlacht,VAL,-0.2,NOUN
besiegen,VAL,-0.4,VERB
selig,VAL,0.6,ADV
Schlagen,VAL,-0.2,NOUN
Schönheit,VAL,0.6,NOUN
schön,VAL,0.6,ADV
verschönern,VAL,0.6,VERB
verniedlichen,VAL,-0.4,VERB
verharmlosen,VAL,-0.4,ADV
lieben,VAL,0.6,VERB
profitieren,VAL,0.4,VERB
berauben,VAL,-0.4,VERB
trauern,VAL,-0.4,ADV
gut,VAL,0.6,ADJ
verraten,VAL,-0.6,VERB
voreingenommen,VAL,-0.2,VERB
parteiisch,VAL,-0.4,ADV
groß,VAL,0.2,ADV
Hündin,VAL,-1.0,NOUN
bitter,VAL,-0.4,ADV
verbittern,VAL,-0.4,VERB
bizarr,VAL,-0.4,ADV
blah,VAL,-0.4,NOUN
tadeln,VAL,-0.4,VERB
segnen,VAL,0.4,VERB
blind,VAL,-0.2,ADV
Glückseligkeit,VAL,0.6,NOUN
glückselig,VAL,0.6,ADV
fröhlich,VAL,0.4,ADV
blockieren,VAL,-0.2,VERB
Blockbuster,VAL,0.6,NOUN
blutig,VAL,-0.6,ADV
verschwimmen,VAL,-0.4,ADV
prahlerisch,VAL,-0.4,ADV
frech,VAL,0.4,ADV
Bombe,VAL,-0.2,NOUN
verstärken,VAL,0.2,VERB
geboostet,VAL,0.2,VERB
Ankurbelung,VAL,0.2,NOUN
bohren,VAL,-0.4,VERB
langweilig,VAL,-0.6,ADV
stören,VAL,-0.4,VERB
belästigen,VAL,-0.4,VERB
lästig,VAL,-0.4,ADV
boykottieren,VAL,-0.4,VERB
boykottiert,VAL,-0.4,VERB
Gehirnwäsche,VAL,-0.6,NOUN
mutig,VAL,0.4,ADV
bahnbrechend,VAL,0.6,ADV
atemberaubend,VAL,1.0,ADV
Bestechung,VAL,-0.6,NOUN
strahlen,VAL,0.2,ADV
Helligkeit,VAL,0.2,NOUN
brillant,VAL,0.8,ADV
lebhaft,VAL,0.4,ADV
kaputt,VAL,-0.2,ADV
brechen,VAL,-0.2,VERB
grüblerisch,VAL,-0.4,ADV
schikanieren,VAL,-0.4,VERB
Blödsinn,VAL,-0.8,NOUN
Miesepeter,VAL,-0.4,NOUN
aufmuntern,VAL,0.4,ADV
belasten,VAL,-0.4,VERB
beruhigen,VAL,0.4,VERB
abbrechen,VAL,-0.2,VERB
annullieren,VAL,-0.2,VERB
Krebs,VAL,-0.2,NOUN
fähig,VAL,0.2,ADV
fesseln,VAL,0.6,VERB
Pflege,VAL,0.4,NOUN
sorglos,VAL,0.2,ADV
vorsichtig,VAL,0.4,ADV
abkassieren,VAL,-0.4,VERB
Katastrophe,VAL,-0.4,NOUN
katastrophal,VAL,-0.8,ADV
zurückhalten,VAL,-0.2,ADV
feiern,VAL,0.6,VERB
zensieren,VAL,-0.4,VERB
bestimmen,VAL,0.2,VERB
Herausforderung,VAL,-0.2,NOUN
Chance,VAL,0.4,NOUN
chaotisch,VAL,-0.4,ADV
aufladen,VAL,-0.6,VERB
Ladung,VAL,-0.4,NOUN
Charme,VAL,0.6,NOUN
charmant,VAL,0.6,ADV
reizlos,VAL,-0.6,ADV
züchtigen,VAL,-0.6,VERB
schummeln,VAL,-0.6,VERB
beschummelt,VAL,-0.6,VERB
bejubeln,VAL,0.4,VERB
jubeln,VAL,0.4,VERB
freudlos,VAL,-0.4,ADV
anfeuern,VAL,0.4,VERB
heitern,VAL,0.4,ADV
wertgeschätzt,VAL,0.4,VERB
wertschätzend,VAL,0.4,ADV
schicken,VAL,0.4,ADV
kindisch,VAL,-0.4,ADV
chillen,VAL,-0.2,VERB
würgen,VAL,-0.4,VERB
drosseln,VAL,-0.4,VERB
klären,VAL,0.4,VERB
Klarheit,VAL,0.4,NOUN
Zusammenprall,VAL,-0.4,NOUN
stilvoll,VAL,0.6,ADV
sauber,VAL,0.4,ADV
klaren,VAL,0.2,ADV
klug,VAL,0.4,ADV
trüben,VAL,-0.2,VERB
ahnungslos,VAL,-0.4,ADV
Schwanz,VAL,-1.0,NOUN
Schwanzlutscher,VAL,-1.0,PROPN
einbilden,VAL,-0.4,VERB
nötigen,VAL,-0.4,VERB
zusammenbrechen,VAL,-0.4,VERB
kollabieren,VAL,-0.4,VERB
kollidiert,VAL,-0.2,VERB
Zusammenstoß,VAL,-0.4,NOUN
Kollisionen,VAL,-0.4,NOUN
kollidieren,VAL,-0.6,VERB
bekämpfen,VAL,-0.2,VERB
Kampf,VAL,-0.2,NOUN
Komödie,VAL,0.2,NOUN
Bequemlichkeit,VAL,0.4,NOUN
gemütlich,VAL,0.4,ADV
trösten,VAL,0.4,VERB
loben,VAL,0.4,VERB
verpflichten,VAL,0.2,VERB
Bekenntnis,VAL,0.2,NOUN
barmherzig,VAL,0.4,ADV
zwingen,VAL,0.2,VERB
kompetent,VAL,0.4,ADV
wettbewerbsfähig,VAL,0.4,ADV
selbstgefällig,VAL,-0.4,ADV
beschweren,VAL,-0.4,VERB
umfassen,VAL,0.4,ADV
geschlichtet,VAL,0.4,VERB
schlicht,VAL,0.4,VERB
versöhnlich,VAL,0.4,ADV
verurteilen,VAL,-0.4,VERB
Verurteilung,VAL,-0.4,NOUN
Vertrauen,VAL,0.4,NOUN
zuversichtlich,VAL,0.4,ADV
Konflikt,VAL,-0.4,NOUN
widersprüchlich,VAL,-0.4,ADV
konfliktreich,VAL,-0.4,ADV
verwirren,VAL,-0.4,VERB
gratulieren,VAL,0.4,VERB
Gratulation,VAL,0.4,NOUN
Konspiration,VAL,-0.6,NOUN
Ansteckung,VAL,-0.4,NOUN
Ansteckungen,VAL,-0.4,NOUN
anstecken,VAL,-0.2,ADV
Verachtung,VAL,-0.4,NOUN
verächtlich,VAL,-0.4,ADV
bestreiten,VAL,-0.2,VERB
streiten,VAL,-0.2,ADV
umstritten,VAL,-0.4,ADV
anfechtbar,VAL,-0.4,ADV
überzeugen,VAL,0.2,VERB
gesellig,VAL,0.4,ADV
cool,VAL,0.2,ADV
Leiche,VAL,-0.2,NOUN
kostspielig,VAL,-0.4,ADV
höflich,VAL,0.4,ADV
Höflichkeit,VAL,0.4,NOUN
Vertuschung,VAL,-0.6,NOUN
feige,VAL,-0.4,ADV
Gemütlichkeit,VAL,0.4,NOUN
Krampf,VAL,-0.2,NOUN
Kacke,VAL,-0.6,NOUN
Absturz,VAL,-0.4,NOUN
verrückt,VAL,-0.4,ADV
verrücken,VAL,-0.4,ADV
kreativ,VAL,0.4,ADV
knicken,VAL,-0.4,VERB
weinen,VAL,-0.4,VERB
Verbrechen,VAL,-0.6,NOUN
kriminell,VAL,-0.6,ADV
Verbrecher,VAL,-0.6,NOUN
Krise,VAL,-0.6,NOUN
Kritik,VAL,-0.4,NOUN
kritisieren,VAL,-0.4,VERB
grausam,VAL,-0.6,ADV
Grausamkeit,VAL,-0.6,NOUN
zermalmen,VAL,-0.2,VERB
zerquetschen,VAL,-0.4,VERB
Fotze,VAL,-1.0,NOUN
neugierig,VAL,0.2,ADV
verfluchen,VAL,-0.2,VERB
schneiden,VAL,-0.2,VERB
niedlich,VAL,0.4,ADV
zynisch,VAL,-0.4,ADV
Schaden,VAL,-0.6,NOUN
verdammen,VAL,-0.8,VERB
Gefahr,VAL,-0.4,NOUN
tollkühn,VAL,0.4,ADV
waghalsig,VAL,0.4,ADV
dunkel,VAL,-0.4,ADJ
Finsternis,VAL,-0.2,NOUN
unerschrocken,VAL,0.4,ADV
tot,VAL,-0.6,ADV
Sackgasse,VAL,-0.4,NOUN
ohrenbetäubend,VAL,-0.2,ADV
Tod,VAL,-0.4,NOUN
debonair,VAL,0.4,ADV
Schulde,VAL,-0.4,NOUN
Betrug,VAL,-0.6,NOUN
betrügerisch,VAL,-0.6,ADV
täuschen,VAL,-0.6,VERB
betrügen,VAL,-0.6,VERB
Täuschung,VAL,-0.6,NOUN
entschließen,VAL,0.2,VERB
widmen,VAL,0.4,VERB
defekt,VAL,-0.6,ADV
Mangel,VAL,-0.6,NOUN
Verteidiger,VAL,0.4,NOUN
wehrlos,VAL,-0.4,ADV
aufschieben,VAL,-0.2,VERB
trotzig,VAL,-0.2,ADV
Defizit,VAL,-0.4,NOUN
degradieren,VAL,-0.4,VERB
erniedrigen,VAL,-0.4,VERB
entmenschlichen,VAL,-0.4,VERB
entmenschlicht,VAL,-0.4,ADV
entmutigen,VAL,-0.4,VERB
verzögern,VAL,-0.2,VERB
erfreuen,VAL,0.6,VERB
fordern,VAL,-0.2,VERB
Demonstration,VAL,-0.2,NOUN
demoralisieren,VAL,-0.4,ADV
verweigern,VAL,-0.4,VERB
Leugner,VAL,-0.4,NOUN
Verweigerer,VAL,-0.4,NOUN
leugnen,VAL,-0.4,VERB
denunzieren,VAL,-0.4,VERB
deprimieren,VAL,-0.4,VERB
entgleisen,VAL,-0.4,VERB
Spott,VAL,-0.4,NOUN
begehren,VAL,0.4,VERB
wünschen,VAL,0.2,VERB
verzweifeln,VAL,-0.6,ADV
verzagen,VAL,-0.6,ADV
zerstören,VAL,-0.6,VERB
vernichten,VAL,-0.6,VERB
loslösen,VAL,-0.2,VERB
aufhalten,VAL,-0.4,VERB
festnehmen,VAL,-0.4,VERB
festhalten,VAL,-0.4,VERB
verwüsten,VAL,-0.4,VERB
verheeren,VAL,-0.4,ADV
hingebungsvoll,VAL,0.6,ADV
diamanten,VAL,0.2,NOUN
Schwachkopf,VAL,-0.8,NOUN
sterben,VAL,-0.6,VERB
schwierig,VAL,-0.2,ADV
schüchtern,VAL,-0.4,ADV
Dilemma,VAL,-0.2,NOUN
Dummkopf,VAL,-0.6,NOUN
schlimm,VAL,-0.6,ADV
grässlich,VAL,-0.6,ADV
schmutzig,VAL,-0.4,ADV
behindern,VAL,-0.2,ADV
benachteiligen,VAL,-0.4,VERB
verschwinden,VAL,-0.2,VERB
enttäuschen,VAL,-0.4,VERB
Enttäuschung,VAL,-0.4,NOUN
ungläubig,VAL,-0.4,ADV
ablegen,VAL,-0.2,VERB
verwerfen,VAL,-0.2,VERB
unzufrieden,VAL,-0.4,ADV
Zwietracht,VAL,-0.4,NOUN
ablehnen,VAL,-0.2,VERB
diskreditieren,VAL,-0.4,VERB
verschmähen,VAL,-0.4,VERB
verkleiden,VAL,-0.2,VERB
Verkleiden,VAL,-0.2,NOUN
anwidern,VAL,-0.6,VERB
unehrlich,VAL,-0.4,ADV
desillusionieren,VAL,-0.4,VERB
abneigen,VAL,-0.4,VERB
unzusammenhängend,VAL,-0.4,ADV
Abneigung,VAL,-0.4,NOUN
düster,VAL,-0.4,ADV
bestürzen,VAL,-0.4,ADV
Unordnung,VAL,-0.4,NOUN
desorganisiert,VAL,-0.4,VERB
desorientiert,VAL,-0.4,ADV
verunglimpfen,VAL,-0.4,VERB
herabsetzen,VAL,-0.4,ADV
strittig,VAL,-0.4,ADV
disqualifizieren,VAL,-0.4,VERB
missachtete,VAL,-0.4,VERB
missachtet,VAL,-0.4,VERB
Missachtung,VAL,-0.4,NOUN
Unterbrechung,VAL,-0.4,NOUN
verzerren,VAL,-0.4,VERB
ablenken,VAL,-0.4,VERB
misstrauisch,VAL,-0.6,ADV
schwanken,VAL,-0.4,ADV
schwindeln,VAL,-0.2,ADV
ausweichen,VAL,-0.4,ADV
wackelig,VAL,-0.4,ADV
trübselig,VAL,-0.4,ADV
Verhängnis,VAL,-0.4,NOUN
zweifeln,VAL,-0.2,VERB
bezweifeln,VAL,-0.2,VERB
zweifelhaft,VAL,-0.2,ADV
Trottel,VAL,-0.6,NOUN
niederschlagen,VAL,-0.4,VERB
ziehen,VAL,-0.2,VERB
schleppen,VAL,-0.2,VERB
auslaugen,VAL,-0.4,VERB
träumen,VAL,0.2,VERB
trostlos,VAL,-0.4,ADV
schlaff,VAL,-0.4,ADV
ertrinken,VAL,-0.4,VERB
betrinken,VAL,-0.4,ADV
dubios,VAL,-0.4,ADV
Blindgänger,VAL,-0.4,NOUN
stumpf,VAL,-0.4,ADV
dumm,VAL,-0.6,ADV
Dumpfbacke,VAL,-0.6,NOUN
abserviert,VAL,-0.2,VERB
dumpen,VAL,-0.2,NOUN
dupe,VAL,-0.4,ADV
dupliziert,VAL,-0.4,VERB
Dysfunktion,VAL,-0.4,NOUN
ernsthaft,VAL,0.4,ADV
leicht,VAL,0.4,ADV
ekstatisch,VAL,0.8,ADV
unheimlich,VAL,-0.4,ADV
wirksam,VAL,0.4,ADV
beschwingt,VAL,0.6,VERB
Hochgefühl,VAL,0.6,NOUN
elegant,VAL,0.4,ADV
blamieren,VAL,-0.4,VERB
umarmen,VAL,0.2,VERB
Notfall,VAL,-0.4,NOUN
einfühlsam,VAL,0.4,ADV
leeren,VAL,-0.2,NOUN
verzaubern,VAL,0.4,VERB
ermutigen,VAL,0.4,VERB
Ermutigung,VAL,0.4,NOUN
billigen,VAL,0.4,VERB
Befürwortung,VAL,0.4,NOUN
Gegner,VAL,-0.4,NOUN
energisch,VAL,0.4,ADV
engagieren,VAL,0.2,VERB
vertiefen,VAL,0.2,VERB
genießen,VAL,0.4,VERB
aufklären,VAL,0.4,VERB
erleuchtet,VAL,0.4,VERB
Ennui,VAL,-0.4,NOUN
erzürnen,VAL,-0.4,ADV
entrücken,VAL,0.6,VERB
versklaven,VAL,-0.4,VERB
sichern,VAL,0.2,VERB
sicherstellen,VAL,0.2,VERB
unternehmungslustig,VAL,0.2,ADV
unterhalten,VAL,0.4,ADV
begeistern,VAL,0.6,ADV
betrauen,VAL,0.2,VERB
anvertrauen,VAL,0.4,VERB
beneiden,VAL,-0.2,VERB
neidisch,VAL,-0.4,ADV
irrtümlich,VAL,-0.4,ADV
Fehler,VAL,-0.4,NOUN
entkommen,VAL,-0.2,VERB
hochschätzen,VAL,0.4,VERB
ethisch,VAL,0.4,ADV
Euphorie,VAL,0.6,NOUN
euphorisch,VAL,0.8,ADV
Vertreibung,VAL,-0.2,NOUN
böse,VAL,-0.6,ADV
Übertreiben,VAL,-0.4,NOUN
übertreiben,VAL,-0.4,ADV
hervorragen,VAL,0.6,ADV
auszeichnen,VAL,0.6,VERB
erregen,VAL,0.6,VERB
aufregen,VAL,0.6,ADV
Aufregung,VAL,0.6,NOUN
ausschließen,VAL,-0.2,VERB
Ausschluss,VAL,-0.2,NOUN
freistellen,VAL,-0.2,VERB
erschöpfen,VAL,-0.4,VERB
erheitern,VAL,0.6,VERB
entlasten,VAL,0.4,VERB
erweitern,VAL,0.2,VERB
vertreiben,VAL,-0.4,VERB
ausnutzen,VAL,-0.4,VERB
ausbeuten,VAL,-0.4,VERB
Erkundung,VAL,0.2,NOUN
Erkundungen,VAL,0.2,NOUN
aussetzen,VAL,-0.2,VERB
aufdecken,VAL,-0.2,VERB
exponieren,VAL,-0.2,VERB
überschwänglich,VAL,0.8,ADV
fabelhaft,VAL,0.8,ADV
fad,VAL,-0.4,ADV
Schwuchtel,VAL,-0.6,PROPN
Schwuchteln,VAL,-0.6,NOUN
durchfallen,VAL,-0.4,VERB
versagen,VAL,-0.4,VERB
Durchgefallen,VAL,-0.4,NOUN
kleinmütig,VAL,-0.4,ADV
gerecht,VAL,0.4,ADV
Glaube,VAL,0.2,NOUN
treu,VAL,0.6,ADV
Fälschung,VAL,-0.6,NOUN
vortäuschen,VAL,-0.6,VERB
fälschen,VAL,-0.6,VERB
fallen,VAL,-0.4,VERB
Ruhm,VAL,0.2,NOUN
Fan,VAL,0.6,NOUN
fantastisch,VAL,0.8,ADV
Farce,VAL,-0.2,NOUN
faszinieren,VAL,0.6,VERB
faschistisch,VAL,-0.4,ADV
Faschist,VAL,-0.4,NOUN
Verhängnisse,VAL,-0.6,NOUN
Ermüdung,VAL,-0.4,NOUN
ermüden,VAL,-0.4,ADV
Gunst,VAL,0.4,NOUN
begünstigen,VAL,0.4,VERB
bevorzugen,VAL,0.4,VERB
Bevorzugt,VAL,0.4,ADV
Angst,VAL,-0.4,NOUN
furchtlos,VAL,0.4,ADV
furchterregend,VAL,-0.4,ADV
nerven,VAL,-0.6,ADV
schwächlich,VAL,-0.4,ADV
Gefühl,VAL,0.2,NOUN
leidenschaftlich,VAL,0.4,ADV
feurig,VAL,0.4,ADV
festlich,VAL,0.4,ADV
Fiasko,VAL,-0.6,NOUN
zappelig,VAL,-0.4,ADV
fein,VAL,0.4,ADV
Feuer,VAL,-0.4,NOUN
brennen,VAL,-0.4,VERB
feuern,VAL,-0.4,VERB
fit,VAL,0.2,ADV
Tauglichkeit,VAL,0.2,NOUN
Flaggschiff,VAL,0.4,NOUN
fliehen,VAL,-0.2,VERB
Flop,VAL,-0.4,NOUN
Grippe,VAL,-0.4,NOUN
fokussieren,VAL,0.4,VERB
Vorliebe,VAL,0.4,NOUN
töricht,VAL,-0.4,ADV
Zwangsvollstreckung,VAL,-0.4,NOUN
Zwangsvollstreckungen,VAL,-0.4,NOUN
vergessen,VAL,-0.2,VERB
vergesslich,VAL,-0.4,ADV
verzeihen,VAL,0.2,VERB
Glücklich,VAL,0.4,ADV
Betrüger,VAL,-0.8,NOUN
Betrügerei,VAL,-0.8,NOUN
frei,VAL,0.2,ADV
Freiheit,VAL,0.4,NOUN
Raserei,VAL,-0.6,NOUN
frischen,VAL,0.2,ADV
freundlich,VAL,0.4,ADV
frikin,VAL,-0.4,PROPN
verspielen,VAL,0.4,VERB
stirnrunzelnd,VAL,-0.2,ADV
frustriert,VAL,-0.4,ADV
Frustration,VAL,-0.4,NOUN
ftw,VAL,0.6,PROPN
ficken,VAL,-0.8,VERB
gefickt,VAL,-0.8,VERB
Ficker,VAL,-0.8,NOUN
Wichser,VAL,-0.8,NOUN
Fickgesicht,VAL,-0.8,NOUN
Fickkopf,VAL,-0.8,NOUN
fud,VAL,-0.6,X
fuked,VAL,-0.8,PROPN
verarschen,VAL,-0.8,VERB
erfüllen,VAL,0.4,VERB
rauchen,VAL,-0.4,ADV
Spaß,VAL,0.8,NOUN
Beerdigung,VAL,-0.2,NOUN
witzig,VAL,0.4,ADV
lustig,VAL,0.8,ADV
sinnlos,VAL,0.4,ADV
knebeln,VAL,-0.4,VERB
gewinnen,VAL,0.4,VERB
galant,VAL,0.6,ADV
Galanterie,VAL,0.6,NOUN
großzügig,VAL,0.4,ADV
genial,VAL,0.6,ADV
Geist,VAL,-0.2,NOUN
leichtsinnig,VAL,-0.4,ADV
Geschenk,VAL,0.4,NOUN
froh,VAL,0.6,ADV
glamourös,VAL,0.6,ADV
vergnügen,VAL,0.6,ADV
glorreich,VAL,0.4,ADV
ruhmreich,VAL,0.4,ADV
mürrisch,VAL,-0.4,ADV
Gott,VAL,0.2,NOUN
gottverdammt,VAL,-0.6,VERB
gottesfürchtig,VAL,0.8,ADV
Güte,VAL,0.6,NOUN
Gnade,VAL,0.2,NOUN
gnädig,VAL,0.6,ADV
großartig,VAL,0.6,ADV
gewähren,VAL,0.2,VERB
währen,VAL,0.2,VERB
dankbar,VAL,0.6,ADV
Befriedigung,VAL,0.4,NOUN
ernst,VAL,-0.4,ADV
grau,VAL,-0.2,ADV
gierig,VAL,-0.6,ADV
grünwaschen,VAL,-0.6,VERB
Grünwäscher,VAL,-0.6,NOUN
Grünwäsche,VAL,-0.6,NOUN
grüßen,VAL,0.2,VERB
betrüben,VAL,-0.4,ADV
brutto,VAL,-0.4,ADV
wachsen,VAL,0.2,ADV
Wachstum,VAL,0.4,NOUN
Garantie,VAL,0.2,NOUN
schuldig,VAL,-0.6,ADV
Leichtgläubigkeit,VAL,-0.4,NOUN
leichtgläubig,VAL,-0.4,ADV
Waffe,VAL,-0.2,NOUN
ha,VAL,0.4,X
hacken,VAL,-0.2,VERB
haha,VAL,0.6,DET
hahaha,VAL,0.6,ADV
hahahah,VAL,0.6,VERB
Hagel,VAL,0.4,PROPN
hageln,VAL,0.4,VERB
unglücklich,VAL,-0.4,ADV
Glück,VAL,0.6,NOUN
glücklich,VAL,0.6,ADV
hart,VAL,-0.2,ADV
Härte,VAL,-0.4,NOUN
abhärten,VAL,0.4,VERB
verletzen,VAL,-0.4,VERB
schädigen,VAL,-0.4,VERB
schädlich,VAL,-0.4,ADV
schaden,VAL,-0.4,VERB
scharf,VAL,-0.4,ADV
hassen,VAL,-0.6,VERB
gehasst,VAL,-0.6,VERB
Hasser,VAL,-0.6,NOUN
hasst,VAL,-0.6,VERB
verfolgen,VAL,-0.2,VERB
heimsuchen,VAL,-0.4,VERB
spuken,VAL,-0.2,VERB
gesund,VAL,0.4,ADV
herzzerreißend,VAL,-0.6,ADV
untröstlich,VAL,-0.6,ADV
herzergreifend,VAL,0.6,ADV
himmlisch,VAL,0.4,ADV
schwermütig,VAL,-0.4,ADV
Hölle,VAL,-0.8,NOUN
Hilfe,VAL,0.4,NOUN
hilfreich,VAL,0.4,ADV
helfen,VAL,0.4,ADV
hilflos,VAL,-0.4,ADV
Held,VAL,0.4,NOUN
heldenhaft,VAL,0.4,ADV
zögern,VAL,-0.4,ADV
verstecken,VAL,-0.2,VERB
hervorheben,VAL,0.4,VERB
vergnüglich,VAL,0.4,ADV
Schwindel,VAL,-0.4,NOUN
Heimweh,VAL,-0.4,NOUN
ehrlich,VAL,0.4,ADV
Ehre,VAL,0.4,NOUN
ehren,VAL,0.4,VERB
ehrenvoll,VAL,0.4,ADV
Hooliganismus,VAL,-0.4,NOUN
Hooligans,VAL,-0.4,NOUN
Hoffnung,VAL,0.4,NOUN
hoffnungsvoll,VAL,0.4,ADV
hoffnungslos,VAL,-0.4,ADV
Hoffnungslosigkeit,VAL,-0.4,NOUN
hoffen,VAL,0.4,VERB
entsetzlich,VAL,-0.6,ADV
feindselig,VAL,-0.4,ADV
Hausierer,VAL,-0.4,NOUN
Umarmung,VAL,0.4,NOUN
riesig,VAL,0.2,ADV
demütigen,VAL,-0.6,VERB
Erniedrigung,VAL,-0.6,NOUN
humorvoll,VAL,0.4,ADV
Hunger,VAL,-0.4,NOUN
Hurra,VAL,1.0,PROPN
heuchlerisch,VAL,-0.4,ADV
Hysterie,VAL,-0.6,NOUN
hysterisch,VAL,-0.6,ADV
idiotisch,VAL,-0.6,ADV
Unwissenheit,VAL,-0.4,NOUN
unwissend,VAL,-0.4,ADV
ignorieren,VAL,-0.2,VERB
kranken,VAL,-0.4,ADV
illegal,VAL,-0.6,ADV
Analphabetismus,VAL,-0.4,NOUN
Krankheit,VAL,-0.4,NOUN
geistesgestört,VAL,-0.6,ADV
bewegungsunfähig,VAL,-0.2,ADV
unsterblich,VAL,0.4,ADV
immun,VAL,0.2,ADV
ungeduldig,VAL,-0.4,ADV
unvollkommen,VAL,-0.4,ADV
wichtig,VAL,0.4,ADV
auferlegen,VAL,-0.2,VERB
impotent,VAL,-0.4,ADV
beeindrucken,VAL,0.6,VERB
inhaftieren,VAL,-0.4,VERB
verbessern,VAL,0.4,VERB
