wordStem,wordFunction,value,pos
aufwind,VAL,0.4333,NOUN
aufzucht,VAL,0.1,NOUN
auge,VAL,0.3725,NOUN
august,VAL,0.5,NOUN
ausbaden,VAL,-0.4333,VERB
ausbau,VAL,0.2059,NOUN
ausbildung,VAL,0.3824,NOUN
ausblick,VAL,0.3333,NOUN
ausbruch,VAL,-0.2333,NOUN
ausdauer,VAL,0.5333,NOUN
ausfall,VAL,-0.4,NOUN
ausflug,VAL,0.5,NOUN
ausgabe,VAL,-0.0882,NOUN
ausgeben,VAL,-0.1078,VERB
auskunft,VAL,0.1667,NOUN
auslesen,VAL,0.0882,VERB
ausmaß,VAL,-0.1373,NOUN
ausnahme,VAL,0.0686,NOUN
ausreden,VAL,0.1,VERB
aussage,VAL,0.0,NOUN
aussetzen,VAL,-0.2255,VERB
aussicht,VAL,0.4902,NOUN
ausstieg,VAL,-0.1667,NOUN
auswahl,VAL,0.2353,NOUN
auswirkung,VAL,-0.1373,NOUN
auswurf,VAL,-0.3,NOUN
autark,VAL,0.2,ADJ
autonom,VAL,0.2667,ADJ
autorität,VAL,-0.3235,NOUN
aversion,VAL,-0.5667,NOUN
baby,VAL,0.6333,NOUN
bach,VAL,0.3333,NOUN
bad,VAL,0.4,NOUN
bagger,VAL,0.12,NOUN
bahre,VAL,-0.5333,NOUN
bakterie,VAL,-0.5667,NOUN
balance,VAL,0.3,NOUN
balken,VAL,0.1,NOUN
balkon,VAL,0.45,NOUN
ball,VAL,0.5,NOUN
ballast,VAL,-0.3667,NOUN
ballon,VAL,0.45,NOUN
balsam,VAL,0.4333,NOUN
baltikum,VAL,0.0,NOUN
banane,VAL,0.44,NOUN
bandit,VAL,-0.3167,NOUN
bank,VAL,-0.0784,NOUN
bankrott,VAL,-0.7667,ADJ
banner,VAL,0.0,NOUN
bar,VAL,0.2745,NOUN
barbar,VAL,-0.35,NOUN
bargeld,VAL,0.6,NOUN
barriere,VAL,-0.4333,NOUN
barsch,VAL,-0.4333,NOUN
basis,VAL,0.1167,NOUN
bastard,VAL,-0.5,NOUN
batterie,VAL,-0.0467,NOUN
bauen,VAL,0.3039,VERB
bauer,VAL,0.05,NOUN
baum,VAL,0.5,NOUN
bazille,VAL,-0.5667,NOUN
beachten,VAL,0.2333,VERB
beamte,VAL,-0.4706,NOUN
beantragen,VAL,-0.2843,VERB
beben,VAL,-0.4,VERB
becher,VAL,0.1833,NOUN
bedarf,VAL,-0.0882,NOUN
bedauern,VAL,-0.3333,VERB
bedenken,VAL,0.0588,NOUN
bedeuten,VAL,0.3431,VERB
bedeutung,VAL,0.3137,NOUN
bedienen,VAL,-0.1667,VERB
bedingung,VAL,-0.3039,NOUN
bedrohen,VAL,-0.6765,VERB
bedürfen,VAL,-0.098,VERB
bedürfnis,VAL,0.1275,NOUN
beenden,VAL,-0.1863,VERB
befallen,VAL,-0.4667,VERB
befangen,VAL,-0.4,ADJ
befehl,VAL,-0.6667,NOUN
befinden,VAL,0.1078,NOUN
befreien,VAL,0.6471,VERB
befreier,VAL,0.4333,NOUN
befreiung,VAL,0.7353,NOUN
befugnis,VAL,0.2333,NOUN
befund,VAL,-0.05,NOUN
befürchten,VAL,-0.4706,VERB
begabung,VAL,0.7333,NOUN
begegnen,VAL,0.4608,VERB
begegnung,VAL,0.5196,NOUN
begeistern,VAL,0.7157,VERB
begierde,VAL,0.0667,NOUN
beginn,VAL,0.4333,NOUN
begleiten,VAL,0.4118,VERB
begnadet,VAL,0.5667,ADJ
begraben,VAL,-0.7,VERB
begreifen,VAL,0.3627,VERB
begründen,VAL,0.1275,VERB
begrüßen,VAL,0.5,VERB
behandeln,VAL,0.1275,VERB
behandlung,VAL,-0.1471,NOUN
behaupten,VAL,-0.1078,VERB
behörde,VAL,-0.5098,NOUN
behutsam,VAL,0.4,ADJ
beichte,VAL,-0.0667,NOUN
beifall,VAL,0.5667,NOUN
beihilfe,VAL,0.1667,NOUN
beil,VAL,-0.5467,NOUN
beileid,VAL,-0.6667,NOUN
beispiel,VAL,0.101,NOUN
beitragen,VAL,0.3627,VERB
bejubeln,VAL,0.7333,VERB
bekennen,VAL,0.1275,VERB
bekommen,VAL,0.3431,VERB
belastung,VAL,-0.549,NOUN
beleg,VAL,-0.1,NOUN
belegen,VAL,-0.0196,VERB
beliebt,VAL,0.8,ADJ
belohnen,VAL,0.6333,VERB
beneiden,VAL,-0.4,VERB
bengel,VAL,-0.05,NOUN
benötigen,VAL,-0.098,VERB
benzin,VAL,-0.2667,NOUN
bequem,VAL,0.5667,ADJ
beraten,VAL,0.2745,VERB
beratung,VAL,0.2667,NOUN
berauben,VAL,-0.7333,VERB
bereich,VAL,0.0098,NOUN
bereiten,VAL,0.1863,VERB
bereuen,VAL,-0.2,VERB
bericht,VAL,-0.0098,NOUN
berichten,VAL,0.1863,VERB
beruf,VAL,0.2,NOUN
berühren,VAL,0.598,VERB
beseitigen,VAL,-0.2941,VERB
besen,VAL,-0.0833,NOUN
besetzen,VAL,-0.2059,VERB
besorgt,VAL,-0.4333,ADJ
bestätigen,VAL,0.3235,VERB
besteck,VAL,0.1967,NOUN
bestehen,VAL,0.3333,VERB
bestellen,VAL,0.2157,VERB
bestie,VAL,-0.7,NOUN
bestimmen,VAL,-0.1569,VERB
bestimmung,VAL,0.049,NOUN
bestreiten,VAL,-0.3235,VERB
besuch,VAL,0.3333,NOUN
besuchen,VAL,0.4804,VERB
besucher,VAL,0.3333,NOUN
beteiligen,VAL,0.1961,VERB
betonen,VAL,0.1961,VERB
betrachten,VAL,0.2255,VERB
betrag,VAL,-0.05,NOUN
betragen,VAL,-0.1275,VERB
betreffen,VAL,-0.0505,VERB
betrieb,VAL,-0.0784,NOUN
betrug,VAL,-0.6833,NOUN
bett,VAL,0.6667,NOUN
betteln,VAL,-0.5,VERB
beule,VAL,-0.4667,NOUN
beutel,VAL,0.2,NOUN
bewahren,VAL,0.2941,VERB
bewähren,VAL,0.1569,VERB
bewegen,VAL,0.451,VERB
bewegung,VAL,0.5392,NOUN
beweis,VAL,0.2,NOUN
beweisen,VAL,0.0686,VERB
bewerber,VAL,0.0,NOUN
bezahlen,VAL,-0.1765,VERB
bezeichnen,VAL,0.1078,VERB
beziehung,VAL,0.5392,NOUN
bibel,VAL,0.1667,NOUN
biber,VAL,0.3333,NOUN
biene,VAL,0.3833,NOUN
bier,VAL,0.2333,NOUN
biest,VAL,-0.5333,NOUN
bieten,VAL,0.0588,VERB
bikini,VAL,0.5767,NOUN
bilanz,VAL,-0.2353,NOUN
bild,VAL,0.3529,NOUN
bilden,VAL,0.4412,VERB
bildung,VAL,0.6275,NOUN
billigen,VAL,-0.1333,VERB
binden,VAL,0.1275,VERB
birke,VAL,0.4,NOUN
birne,VAL,0.3333,NOUN
bischof,VAL,-0.2745,NOUN
bitte,VAL,0.2167,NOUN
bitten,VAL,0.1275,VERB
bitter,VAL,-0.4333,ADJ
blamage,VAL,-0.6,NOUN
blase,VAL,-0.2333,NOUN
blei,VAL,-0.2059,NOUN
bleiben,VAL,0.2745,VERB
blick,VAL,0.4216,NOUN
blitz,VAL,0.1667,NOUN
blondine,VAL,0.2,NOUN
blume,VAL,0.7167,NOUN
bluse,VAL,0.2267,NOUN
blut,VAL,-0.2941,NOUN
blüte,VAL,0.7733,NOUN
blutig,VAL,-0.6,ADJ
bluttat,VAL,-0.9333,NOUN
boden,VAL,0.0167,NOUN
bodenlos,VAL,-0.5333,ADJ
bogen,VAL,0.2667,NOUN
bohne,VAL,0.2167,NOUN
bohrer,VAL,-0.05,NOUN
bombe,VAL,-0.8333,NOUN
bomber,VAL,-0.75,NOUN
bonbon,VAL,0.5667,NOUN
boot,VAL,0.35,NOUN
börse,VAL,-0.2157,NOUN
borste,VAL,-0.1167,NOUN
boshaft,VAL,-0.6333,ADJ
botschaft,VAL,0.2451,NOUN
brauchen,VAL,-0.0784,VERB
brause,VAL,0.2667,NOUN
braut,VAL,0.3333,NOUN
brechen,VAL,-0.4412,VERB
brennen,VAL,-0.5098,VERB
brezel,VAL,0.5467,NOUN
brief,VAL,0.5,NOUN
brigade,VAL,-0.4216,NOUN
brillant,VAL,0.7333,ADJ
brille,VAL,-0.2167,NOUN
britisch,VAL,0.2,ADJ
bronze,VAL,0.2333,NOUN
brot,VAL,0.3033,NOUN
brücke,VAL,0.2733,NOUN
bruder,VAL,0.5588,NOUN
brunnen,VAL,0.1833,NOUN
brust,VAL,0.4216,NOUN
brutal,VAL,-0.6667,ADJ
buch,VAL,0.6373,NOUN
buche,VAL,0.3833,NOUN
buddha,VAL,0.2733,NOUN
bühne,VAL,0.4804,NOUN
bulle,VAL,-0.2,NOUN
bullig,VAL,-0.3,ADJ
bumerang,VAL,0.2867,NOUN
bündnis,VAL,0.098,NOUN
bunker,VAL,-0.6,NOUN
bunt,VAL,0.5333,ADJ
burg,VAL,0.41,NOUN
büro,VAL,-0.2059,NOUN
bursche,VAL,-0.1765,NOUN
bürste,VAL,0.0767,NOUN
busen,VAL,0.6167,NOUN
butter,VAL,0.2,NOUN
cello,VAL,0.3167,NOUN
chance,VAL,0.7,NOUN
chaos,VAL,-0.0167,NOUN
charakter,VAL,0.4216,NOUN
charme,VAL,0.7667,NOUN
chef,VAL,0.0667,NOUN
christus,VAL,-0.0392,NOUN
dachs,VAL,0.15,NOUN
dackel,VAL,0.09,NOUN
dame,VAL,0.3333,NOUN
dampfer,VAL,0.2133,NOUN
dank,VAL,0.6078,NOUN
danken,VAL,0.6373,VERB
darlehen,VAL,-0.2333,NOUN
darm,VAL,-0.38,NOUN
darstellen,VAL,0.2941,VERB
dasein,VAL,0.5,NOUN
datum,VAL,0.1,NOUN
dauer,VAL,-0.2833,NOUN
dauern,VAL,-0.0784,VERB
daumen,VAL,0.15,NOUN
debatte,VAL,-0.3039,NOUN
decke,VAL,0.4533,NOUN
deckel,VAL,-0.03,NOUN
defensiv,VAL,-0.2,ADJ
defizit,VAL,-0.6667,NOUN
dekadent,VAL,-0.6667,ADJ
delikt,VAL,-0.5333,NOUN
delle,VAL,-0.3,NOUN
demokrat,VAL,0.0784,NOUN
demokratie,VAL,0.2059,NOUN
demut,VAL,-0.3,NOUN
denker,VAL,0.6,NOUN
derb,VAL,-0.3667,ADJ
dessert,VAL,0.5333,NOUN
detail,VAL,0.0667,NOUN
deutung,VAL,0.1667,NOUN
diagnose,VAL,-0.2333,NOUN
dialekt,VAL,0.1333,NOUN
diamant,VAL,0.5667,NOUN
dichter,VAL,0.5294,NOUN
dieb,VAL,-0.6,NOUN
diele,VAL,0.1333,NOUN
dienen,VAL,-0.3627,VERB
diener,VAL,-0.1667,NOUN
dienst,VAL,-0.2549,NOUN
diffus,VAL,-0.4,ADJ
diktatur,VAL,-0.8333,NOUN
dilemma,VAL,-0.6,NOUN
ding,VAL,-0.0098,NOUN
diplom,VAL,0.6,NOUN
diplomat,VAL,0.3,NOUN
dirne,VAL,-0.3333,NOUN
diskussion,VAL,0.0098,NOUN
distel,VAL,-0.1833,NOUN
dogge,VAL,-0.3167,NOUN
doktor,VAL,0.2667,NOUN
dokument,VAL,0.2,NOUN
dolch,VAL,-0.4333,NOUN
dominanz,VAL,-0.2,NOUN
donner,VAL,-0.0667,NOUN
dose,VAL,-0.06,NOUN
dosis,VAL,-0.2333,NOUN
dozent,VAL,0.0333,NOUN
drache,VAL,0.1333,NOUN
drama,VAL,0.0333,NOUN
drängen,VAL,-0.4412,VERB
dreck,VAL,-0.5,NOUN
drillen,VAL,-0.5667,VERB
dringen,VAL,-0.2745,VERB
droge,VAL,-0.4167,NOUN
drohen,VAL,-0.7255,VERB
drohung,VAL,-0.7,NOUN
druck,VAL,-0.5294,NOUN
drücken,VAL,-0.0588,VERB
duell,VAL,-0.1667,NOUN
duft,VAL,0.5667,NOUN
duften,VAL,0.5,VERB
dummheit,VAL,-0.6333,NOUN
durst,VAL,-0.3667,NOUN
dusche,VAL,0.5667,NOUN
echse,VAL,0.1,NOUN
effekt,VAL,0.1333,NOUN
egoismus,VAL,-0.3667,NOUN
ehe,VAL,0.2157,NOUN
ehelos,VAL,-0.0667,ADJ
ehre,VAL,0.3039,NOUN
ehrgeiz,VAL,0.5,NOUN
ehrlich,VAL,0.7333,ADJ
ehrung,VAL,0.3833,NOUN
eiche,VAL,0.4833,NOUN
eid,VAL,0.0333,NOUN
eidechse,VAL,0.1067,NOUN
eifel,VAL,0.2,NOUN
eifer,VAL,0.2667,NOUN
eifrig,VAL,0.2667,ADJ
eigelb,VAL,0.2667,NOUN
eigenart,VAL,0.1,NOUN
eigentum,VAL,0.4,NOUN
eimer,VAL,0.0333,NOUN
eindruck,VAL,0.1333,NOUN
einengen,VAL,-0.6667,VERB
einfall,VAL,0.5,NOUN
einfalt,VAL,-0.4,NOUN
eingehen,VAL,0.0098,VERB
einheit,VAL,0.3922,NOUN
einigung,VAL,0.5,NOUN
einklang,VAL,0.6333,NOUN
einladen,VAL,0.5588,VERB
einladung,VAL,0.549,NOUN
einnahme,VAL,0.1333,NOUN
einsam,VAL,-0.7333,ADJ
einsatz,VAL,0.3333,NOUN
einsetzen,VAL,0.1373,VERB
einsicht,VAL,0.3636,NOUN
einstellen,VAL,0.1176,VERB
einsturz,VAL,-0.5667,NOUN
eintracht,VAL,0.1471,NOUN
eintreten,VAL,0.049,VERB
eintritt,VAL,0.1,NOUN
eis,VAL,0.6,NOUN
eitel,VAL,-0.3667,ADJ
ekel,VAL,-0.6667,NOUN
ekstase,VAL,0.6667,NOUN
elch,VAL,0.3333,NOUN
elefant,VAL,0.44,NOUN
elend,VAL,-0.7,ADJ
embargo,VAL,-0.5667,NOUN
emotion,VAL,0.2333,NOUN
empfangen,VAL,0.3824,VERB
empfehlen,VAL,0.3627,VERB
empfinden,VAL,0.5,VERB
ende,VAL,-0.2,NOUN
enden,VAL,-0.3137,VERB
endziel,VAL,0.2,NOUN
energie,VAL,0.7,NOUN
engel,VAL,0.7167,NOUN
enkel,VAL,0.4167,NOUN
entdecken,VAL,0.5784,VERB
ente,VAL,0.3033,NOUN
entfallen,VAL,-0.2255,VERB
entfernen,VAL,-0.2353,VERB
entfernung,VAL,-0.3627,NOUN
enthalten,VAL,-0.1176,VERB
entlassen,VAL,-0.5392,VERB
entsetzt,VAL,-0.6,ADJ
entstehen,VAL,0.3922,VERB
entwurf,VAL,0.2,NOUN
entziehen,VAL,-0.3333,VERB
entzug,VAL,-0.5667,NOUN
erbe,VAL,0.3667,NOUN
erbeten,VAL,0.0196,VERB
erbin,VAL,0.2667,NOUN
erbitten,VAL,-0.0667,VERB
erbse,VAL,0.2,NOUN
erdbeben,VAL,-0.5667,NOUN
erdbeere,VAL,0.8333,NOUN
erde,VAL,0.6333,NOUN
erfahren,VAL,0.4118,VERB
erfahrung,VAL,0.5784,NOUN
erfassen,VAL,0.1373,VERB
erfinder,VAL,0.4333,NOUN
erfolg,VAL,0.7,NOUN
erfolgen,VAL,0.0784,VERB
erfordern,VAL,-0.3235,VERB
erfüllen,VAL,0.4706,VERB
erfüllung,VAL,0.6863,NOUN
ergänzen,VAL,0.2549,VERB
ergeben,VAL,-0.1765,VERB
ergebnis,VAL,0.2451,NOUN
ergreifen,VAL,0.049,VERB
erhalten,VAL,0.2843,VERB
erheben,VAL,0.0294,VERB
erholung,VAL,0.7667,NOUN
erinnern,VAL,0.451,VERB
erinnerung,VAL,0.4706,NOUN
erkennen,VAL,0.4118,VERB
erkenntnis,VAL,0.5882,NOUN
erlauben,VAL,0.2157,VERB
erleben,VAL,0.5784,VERB
erlebnis,VAL,0.4333,NOUN
erledigen,VAL,0.0294,VERB
erleiden,VAL,-0.6471,VERB
ermitteln,VAL,-0.098,VERB
ernte,VAL,0.4,NOUN
erotik,VAL,0.7667,NOUN
erreger,VAL,-0.4,NOUN
erreichen,VAL,0.5196,VERB
errichten,VAL,0.2255,VERB
errichtung,VAL,0.1373,NOUN
ersaufen,VAL,-0.8,VERB
ersetzen,VAL,-0.1569,VERB
erteilen,VAL,-0.1078,VERB
ertrag,VAL,0.5,NOUN
erwarten,VAL,0.1569,VERB
erwartung,VAL,0.2353,NOUN
erweitern,VAL,0.3922,VERB
erwerb,VAL,0.35,NOUN
erwerben,VAL,0.2843,VERB
erzählen,VAL,0.451,VERB
erzeugen,VAL,0.3137,VERB
erzeuger,VAL,0.2667,NOUN
erzeugnis,VAL,0.1569,NOUN
erzfeind,VAL,-0.8333,NOUN
erzielen,VAL,0.1961,VERB
esel,VAL,0.35,NOUN
essen,VAL,0.5196,VERB
essig,VAL,-0.0833,NOUN
ethik,VAL,0.3,NOUN
eule,VAL,0.2133,NOUN
euphorie,VAL,0.4667,NOUN
euter,VAL,-0.0833,NOUN
ewigkeit,VAL,0.5,NOUN
existenz,VAL,0.5333,NOUN
fabel,VAL,0.4833,NOUN
fabrik,VAL,-0.2333,NOUN
fächer,VAL,0.2267,NOUN
faden,VAL,0.0667,NOUN
fähigkeit,VAL,0.5392,NOUN
fahndung,VAL,-0.3667,NOUN
fahne,VAL,-0.0667,NOUN
fahren,VAL,0.3235,VERB
fahrer,VAL,0.1833,NOUN
fahrrad,VAL,0.5167,NOUN
fahrt,VAL,0.3137,NOUN
fall,VAL,-0.3636,NOUN
falle,VAL,-0.5667,NOUN
fallen,VAL,-0.3529,VERB
fällen,VAL,-0.2353,VERB
falte,VAL,-0.15,NOUN
familie,VAL,0.6,NOUN
fangen,VAL,-0.1765,VERB
fantasie,VAL,0.8,NOUN
farbe,VAL,0.5333,NOUN
fasan,VAL,0.3333,NOUN
fasching,VAL,0.0,NOUN
faschismus,VAL,-0.9118,NOUN
fassade,VAL,-0.0667,NOUN
fassen,VAL,0.0196,VERB
faust,VAL,-0.2745,NOUN
feder,VAL,0.4333,NOUN
fee,VAL,0.7667,NOUN
fehde,VAL,-0.4833,NOUN
fehlen,VAL,-0.5098,VERB
fehler,VAL,-0.5333,NOUN
feier,VAL,0.7,NOUN
feiern,VAL,0.6961,VERB
feiertag,VAL,0.6333,NOUN
feigling,VAL,-0.6,NOUN
feile,VAL,0.0667,NOUN
feind,VAL,-0.7157,NOUN
fenster,VAL,0.38,NOUN
ferien,VAL,0.8667,NOUN
fernrohr,VAL,0.2567,NOUN
fernsehen,VAL,0.0686,NOUN
ferse,VAL,0.0667,NOUN
fessel,VAL,-0.4333,NOUN
fest,VAL,0.6176,NOUN
festlegen,VAL,-0.1471,VERB
festtag,VAL,0.6667,NOUN
festung,VAL,0.0333,NOUN
fett,VAL,-0.5,NOUN
feucht,VAL,-0.1333,ADJ
feuer,VAL,0.0167,NOUN
feurig,VAL,0.3,ADJ
fibel,VAL,0.1333,NOUN
fichte,VAL,0.2833,NOUN
fieber,VAL,-0.6,NOUN
figur,VAL,0.1167,NOUN
film,VAL,0.5,NOUN
filmstar,VAL,0.3333,NOUN
filter,VAL,0.0333,NOUN
finale,VAL,0.3,NOUN
finden,VAL,0.451,VERB
finder,VAL,0.25,NOUN
finger,VAL,0.2333,NOUN
firma,VAL,0.0833,NOUN
fisch,VAL,0.12,NOUN
flagge,VAL,0.1967,NOUN
flamingo,VAL,0.3333,NOUN
flamme,VAL,0.2,NOUN
flasche,VAL,0.15,NOUN
flaute,VAL,-0.35,NOUN
flegel,VAL,-0.3,NOUN
fleisch,VAL,-0.1471,NOUN
flexibel,VAL,0.5667,ADJ
fliege,VAL,-0.3167,NOUN
fliegen,VAL,0.5588,VERB
fließen,VAL,0.3039,VERB
flirt,VAL,0.5667,NOUN
floß,VAL,0.2267,NOUN
flöte,VAL,0.1667,NOUN
fluch,VAL,-0.7,NOUN
flucht,VAL,-0.5098,NOUN
flüchtling,VAL,-0.402,NOUN
flughafen,VAL,0.2828,NOUN
flugzeug,VAL,0.1667,NOUN
flut,VAL,-0.2667,NOUN
fohlen,VAL,0.4667,NOUN
föhn,VAL,0.1367,NOUN
folge,VAL,-0.05,NOUN
folter,VAL,-0.9333,NOUN
foltern,VAL,-0.9333,VERB
fordern,VAL,-0.2941,VERB
fördern,VAL,0.4804,VERB
forderung,VAL,-0.2843,NOUN
förderung,VAL,0.3824,NOUN
form,VAL,0.1176,NOUN
forsch,VAL,-0.0667,ADJ
forscher,VAL,0.3627,NOUN
forschung,VAL,0.3529,NOUN
